ribosome_profiling_counts,ribosome_profiling_rpk,RNA-seq_counts,RNA-seq_rpk,transcript_ID,ribosome_profiling_tpm,RNA-seq_tpm,translation_efficiency
61,14.12691061,3,0.694766095,FBtr0330665,3.601918859,1.901856471,1.893896261
57,14.63039014,3,0.770020534,FBtr0330666,3.73029034,2.107858379,1.769706342
0,0,2.24,1.831561733,FBtr0077792,0,5.013727006,0
0,0,2.24,1.822620016,FBtr0330667,0,4.989249901,0
478,434.9408553,9.32,8.480436761,FBtr0303027,110.8962683,23.2143935,4.777047839
478,395.0413223,9.376756757,7.749385749,FBtr0331441,100.7231396,21.21321051,4.748132752
485,396.5658217,9.12,7.457072772,FBtr0077791,101.1118391,20.41303138,4.953298567
37,39.8277718,0.213333333,0.229637603,FBtr0077764,10.15483189,0.628611218,16.15439177
35,10.35502959,4.12,1.218934911,FBtr0331438,2.640207572,3.336719026,0.791258584
35,9.673852957,4.12,1.138750691,FBtr0077765,2.466528909,3.117222307,0.791258584
26,8.044554455,5,1.547029703,FBtr0077766,2.051108923,4.234847485,0.484340683
24,6.566347469,4,1.094391245,FBtr0331437,1.674212533,2.995792519,0.558854634
9,4.983388704,1,0.553709856,FBtr0330685,1.270607726,1.515728358,0.838281951
12,6.420545746,1,0.535045479,FBtr0077767,1.637037669,1.464636391,1.117709268
14,9.377093101,1,0.669792364,FBtr0077768,2.390864459,1.833493245,1.303994147
0,0,2.542807584,2.702239728,FBtr0331440,0,7.397125661,0
0,0,2.542807584,2.618751374,FBtr0331439,0,7.168584189,0
0,0,2.542807584,2.60266897,FBtr0077790,0,7.12456013,0
0,0,0,0,FBtr0335464,0,0,
0,0,0,0,FBtr0330686,0,0,
0,0,0,0,FBtr0475317,0,0,
1,0.18178513,1.08,0.19632794,FBtr0077769,0.046349503,0.537429167,0.086242999
1,0.176678445,0,0,FBtr0307078,0.045047459,0,inf
0,0,0,0,FBtr0307079,0,0,
0,0,0,0,FBtr0077787,0,0,
0,0,0,0,FBtr0077788,0,0,
0,0,0,0,FBtr0112752,0,0,
0,0,0,0,FBtr0331203,0,0,
0,0,0,0,FBtr0112751,0,0,
10,4.938271605,0,0,FBtr0077770,1.259104281,0,inf
10,2.658160553,0.12,0.031897927,FBtr0335462,0.67774752,0.087317557,7.76186992
